Name,Source GitHub,Tags
"('Polkadot', 'https://coinmarketcap.com/currencies/polkadot-new/')",https://github.com/paritytech/polkadot,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']"
"('Dai', 'https://coinmarketcap.com/currencies/multi-collateral-dai/')",,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']"
"('Polygon', 'https://coinmarketcap.com/currencies/polygon/')",https://github.com/maticnetwork/contracts,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']"
"('Toncoin', 'https://coinmarketcap.com/currencies/toncoin/')",https://github.com/ton-blockchain,"['pos', 'dwf-labs-portfolio', 'toncoin-ecosystem']"
"('Litecoin', 'https://coinmarketcap.com/currencies/litecoin/')",https://github.com/litecoin-project/litecoin,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']"
"('Shiba Inu', 'https://coinmarketcap.com/currencies/shiba-inu/')",,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']"
"('Wrapped Bitcoin', 'https://coinmarketcap.com/currencies/wrapped-bitcoin/')",https://github.com/WrappedBTC/bitcoin-token-smart-contracts,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']"
"('Bitcoin Cash', 'https://coinmarketcap.com/currencies/bitcoin-cash/')",https://gitlab.com/bitcoin-cash-node/,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']"
"('UNUS SED LEO', 'https://coinmarketcap.com/currencies/unus-sed-leo/')",,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']"
"('Avalanche', 'https://coinmarketcap.com/currencies/avalanche/')",https://github.com/ava-labs/avalanchego,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'layer-1']"
"('Stellar', 'https://coinmarketcap.com/currencies/stellar/')",https://github.com/stellar/stellar-core,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']"
"('Chainlink', 'https://coinmarketcap.com/currencies/chainlink/')",https://github.com/smartcontractkit/chainlink,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']"
"('Binance USD', 'https://coinmarketcap.com/currencies/binance-usd/')",https://github.com/paxosglobal/busd-contract,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem', 'alleged-sec-securities', 'linea-ecosystem']"
"('TrueUSD', 'https://coinmarketcap.com/currencies/trueusd/')",https://github.com/trusttoken/smart-contracts,"['store-of-value', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'arbitrum-ecosytem', 'bnb-chain', 'usd-stablecoin']"
"('Uniswap', 'https://coinmarketcap.com/currencies/uniswap/')",,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem']"
"('Monero', 'https://coinmarketcap.com/currencies/monero/')",https://github.com/monero-project/monero,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']"
"('OKB', 'https://coinmarketcap.com/currencies/okb/')",,"['marketplace', 'centralized-exchange', 'discount-token', 'alameda-research-portfolio']"
"('Cosmos', 'https://coinmarketcap.com/currencies/cosmos/')",https://github.com/cosmos,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']"
"('Ethereum Classic', 'https://coinmarketcap.com/currencies/ethereum-classic/')",https://github.com/ethereumclassic/ethereumclassic.github.io,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']"
"('Hedera', 'https://coinmarketcap.com/currencies/hedera/')",https://github.com/hashgraph,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'layer-1']"
"('Internet Computer', 'https://coinmarketcap.com/currencies/internet-computer/')",https://github.com/dfinity/ic,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'sec-security-token', 'alleged-sec-securities']"
"('Filecoin', 'https://coinmarketcap.com/currencies/filecoin/')",https://github.com/filecoin-project/,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'filecoin-ecosystem', 'sec-security-token', 'alleged-sec-securities']"
"('Mantle', 'https://coinmarketcap.com/currencies/mantle/')",https://github.com/mantlenetworkio,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']"
"('Lido DAO', 'https://coinmarketcap.com/currencies/lido-dao/')",https://github.com/lidofinance,"['defi', 'dao', 'three-arrows-capital-portfolio', 'paradigm-portfolio', 'arbitrum-ecosytem', 'liquid-staking-derivatives', 'optimism-ecosystem']"
"('Cronos', 'https://coinmarketcap.com/currencies/cronos/')",https://github.com/crypto-org-chain/chain-main,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments', 'injective-ecosystem']"
"('Aptos', 'https://coinmarketcap.com/currencies/aptos/')",,"['binance-labs-portfolio', 'aptos-ecosystem', 'circle-ventures-portfolio', 'layer-1']"
"('Quant', 'https://coinmarketcap.com/currencies/quant/')",https://github.com/quantnetwork/,"['platform', 'interoperability']"
"('Arbitrum', 'https://coinmarketcap.com/currencies/arbitrum/')",,"['scaling', 'dao', 'dapp', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'layer-2', 'rollups', 'pantera-capital-portfolio', 'arbitrum-ecosytem']"
"('VeChain', 'https://coinmarketcap.com/currencies/vechain/')",https://github.com/vechain,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']"
"('NEAR Protocol', 'https://coinmarketcap.com/currencies/near-protocol/')",https://github.com/nearprotocol/nearcore,"['platform', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem', 'circle-ventures-portfolio', 'sec-security-token', 'alleged-sec-securities']"
"('Optimism', 'https://coinmarketcap.com/currencies/optimism-ethereum/')",https://github.com/ethereum-optimism/,"['layer-2', 'optimism-ecosystem']"
"('Maker', 'https://coinmarketcap.com/currencies/maker/')",https://github.com/makerdao,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'bnb-chain', 'real-world-assets']"
"('Aave', 'https://coinmarketcap.com/currencies/aave/')",https://github.com/aave,"['defi', 'dao', 'yield-farming', 'three-arrows-capital-portfolio', 'governance', 'lending-borowing', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'optimism-ecosystem']"
"('The Graph', 'https://coinmarketcap.com/currencies/the-graph/')",https://github.com/graphprotocol,"['ai-big-data', 'enterprise-solutions', 'defi', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'injective-ecosystem']"
"('Algorand', 'https://coinmarketcap.com/currencies/algorand/')",https://github.com/algorand/go-algorand,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']"
"('XDC Network', 'https://coinmarketcap.com/currencies/xdc-network/')",https://github.com/xinfinorg,"['enterprise-solutions', 'smart-contracts', 'xdc-ecosystem', 'layer-1']"
"('USDD', 'https://coinmarketcap.com/currencies/usdd/')",https://tronscan.org/#/contract/TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn/code,"['stablecoin', 'algorithmic-stablecoin', 'arbitrum-ecosytem', 'usd-stablecoin']"
"('Axie Infinity', 'https://coinmarketcap.com/currencies/axie-infinity/')",,"['collectibles-nfts', 'gaming', 'binance-launchpad', 'metaverse', 'defiance-capital-portfolio', 'play-to-earn', 'animoca-brands-portfolio', 'sec-security-token', 'alleged-sec-securities']"
"('The Sandbox', 'https://coinmarketcap.com/currencies/the-sandbox/')",,"['collectibles-nfts', 'content-creation', 'gaming', 'ethereum-ecosystem', 'binance-launchpad', 'metaverse', 'play-to-earn', 'animoca-brands-portfolio', 'sec-security-token', 'alleged-sec-securities']"
"('Tezos', 'https://coinmarketcap.com/currencies/tezos/')",https://gitlab.com/tezos/tezos,"['pos', 'platform', 'enterprise-solutions', 'collectibles-nfts', 'defi', 'smart-contracts', 'polychain-capital-portfolio', 'boostvc-portfolio', 'winklevoss-capital-portfolio', 'layer-1']"
"('Stacks', 'https://coinmarketcap.com/currencies/stacks/')",https://github.com/stacks-network,"['mineable', 'platform', 'collectibles-nfts', 'defi', 'smart-contracts', 'metaverse', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'hashkey-capital-portfolio', 'huobi-capital-portfolio', 'usv-portfolio', 'web3', 'injective-ecosystem', 'bitcoin-ecosystem']"
"('MultiversX', 'https://coinmarketcap.com/currencies/multiversx-egld/')",https://github.com/multiversx,"['binance-launchpad', 'binance-labs-portfolio', 'electric-capital-portfolio', 'exnetwork-capital-portfolio', 'elrond-ecosystem', 'injective-ecosystem', 'bnb-chain', 'layer-1', 'dwf-labs-portfolio']"
"('EOS', 'https://coinmarketcap.com/currencies/eos/')",https://github.com/AntelopeIO/leap,"['medium-of-exchange', 'enterprise-solutions', 'smart-contracts', 'eos', 'fenbushi-capital-portfolio', 'galaxy-digital-portfolio', 'dwf-labs-portfolio']"
"('Theta Network', 'https://coinmarketcap.com/currencies/theta-network/')",https://github.com/thetatoken,"['media', 'collectibles-nfts', 'content-creation', 'defi', 'video', 'metaverse', 'huobi-capital-portfolio', 'web3']"
"('Immutable', 'https://coinmarketcap.com/currencies/immutable-x/')",,"['collectibles-nfts', 'zero-knowledge-proofs', 'gaming', 'scaling', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio']"
"('Injective', 'https://coinmarketcap.com/currencies/injective/')",https://github.com/InjectiveLabs,"['pos', 'platform', 'cosmos-ecosystem', 'ai-big-data', 'defi', 'smart-contracts', 'cosmos', 'binance-smart-chain', 'binance-launchpad', 'binance-labs-portfolio', 'cms-holdings-portfolio', 'pantera-capital-portfolio', 'web3']"
"('Fantom', 'https://coinmarketcap.com/currencies/fantom/')",https://github.com/Fantom-Foundation,"['platform', 'enterprise-solutions', 'defi', 'research', 'scaling', 'smart-contracts', 'fantom-ecosystem', 'injective-ecosystem', 'layer-1']"
"('Bitcoin SV', 'https://coinmarketcap.com/currencies/bitcoin-sv/')",https://github.com/bitcoin-sv/bitcoin-sv,"['mineable', 'pow', 'sha-256', 'medium-of-exchange', 'store-of-value', 'state-channel', 'bitcoin-ecosystem']"
"('Decentraland', 'https://coinmarketcap.com/currencies/decentraland/')",https://github.com/decentraland/mana,"['platform', 'collectibles-nfts', 'gaming', 'payments', 'metaverse', 'boostvc-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'polygon-ecosystem', 'play-to-earn', 'sec-security-token', 'alleged-sec-securities']"
"('Synthetix', 'https://coinmarketcap.com/currencies/synthetix/')",,"['services', 'decentralized-exchange-dex-token', 'defi', 'derivatives', 'dao', 'yield-farming', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'synthetics', 'defiance-capital-portfolio', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'parafi-capital', 'paradigm-portfolio', 'fantom-ecosystem', 'spartan-group', 'bnb-chain', 'optimism-ecosystem', 'real-world-assets', 'dwf-labs-portfolio', 'celsius-bankruptcy-estate']"
"('Render', 'https://coinmarketcap.com/currencies/render/')",,"['art', 'media', 'vr-ar', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'gaming', 'scaling', 'video', 'ethereum-ecosystem', 'solana-ecosystem', 'metaverse', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'polygon-ecosystem', 'web3']"
"('ApeCoin', 'https://coinmarketcap.com/currencies/apecoin-ape/')",,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']"
"('Pax Dollar', 'https://coinmarketcap.com/currencies/paxos-standard/')",https://github.com/paxosglobal/pax-contracts,"['store-of-value', 'stablecoin', 'asset-backed-stablecoin', 'bnb-chain', 'usd-stablecoin']"
"('Neo', 'https://coinmarketcap.com/currencies/neo/')",https://github.com/neo-project/neo,"['platform', 'enterprise-solutions', 'smart-contracts']"
"('THORChain', 'https://coinmarketcap.com/currencies/thorchain/')",https://github.com/thorchain,"['cosmos-ecosystem', 'decentralized-exchange-dex-token', 'defi', 'dex', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem']"
"('Kava', 'https://coinmarketcap.com/currencies/kava/')",https://github.com/kava-labs,"['cosmos-ecosystem', 'defi', 'binance-launchpad', 'binance-labs-portfolio', 'lending-borowing', 'arrington-xrp-capital-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'injective-ecosystem', 'dwf-labs-portfolio']"
"('PAX Gold', 'https://coinmarketcap.com/currencies/pax-gold/')",https://github.com/paxosglobal/paxos-gold-contract,"['bnb-chain', 'tokenized-gold']"
"('Tether Gold', 'https://coinmarketcap.com/currencies/tether-gold/')",,['tokenized-gold']
"('eCash', 'https://coinmarketcap.com/currencies/ecash/')",https://github.com/bitcoin-abc,['layer-1']
"('Flow', 'https://coinmarketcap.com/currencies/flow/')",https://github.com/onflow,"['platform', 'collectibles-nfts', 'staking', 'coinbase-ventures-portfolio', 'coinfund-portfolio', 'dcg-portfolio', 'ledgerprime-portfolio', 'a16z-portfolio', 'animoca-brands-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities']"
"('Rocket Pool', 'https://coinmarketcap.com/currencies/rocket-pool/')",https://github.com/rocket-pool/rocketpool,"['defi', 'liquid-staking-derivatives']"
"('Chiliz', 'https://coinmarketcap.com/currencies/chiliz/')",,"['sports', 'collectibles-nfts', 'content-creation', 'payments', 'layer-1', 'sec-security-token', 'alleged-sec-securities']"
"('Gala', 'https://coinmarketcap.com/currencies/gala/')",,"['collectibles-nfts', 'gaming', 'binance-smart-chain', 'polygon-ecosystem', 'play-to-earn', 'dwf-labs-portfolio']"
"('Klaytn', 'https://coinmarketcap.com/currencies/klaytn/')",https://github.com/klaytn/klaytn,"['platform', 'enterprise-solutions', 'injective-ecosystem']"
"('KuCoin Token', 'https://coinmarketcap.com/currencies/kucoin-token/')",,"['marketplace', 'centralized-exchange', 'discount-token', 'algorand-ecosystem']"
"('Frax Share', 'https://coinmarketcap.com/currencies/frax-share/')",https://github.com/fraxfinance,"['defi', 'seigniorage', 'avalanche-ecosystem', 'exnetwork-capital-portfolio', 'olympus-pro-ecosystem', 'arbitrum-ecosytem', 'liquid-staking-derivatives']"
"('IOTA', 'https://coinmarketcap.com/currencies/iota/')",https://github.com/iotaledger,"['dag', 'medium-of-exchange', 'iot', 'sharing-economy', 'dwf-labs-portfolio']"
"('Zcash', 'https://coinmarketcap.com/currencies/zcash/')",https://github.com/zcash/zcash,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'bnb-chain']"
"('Casper', 'https://coinmarketcap.com/currencies/casper/')",https://github.com/casper-network/,"['enterprise-solutions', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'web3', 'okex-blockdream-ventures-portfolio']"
"('Sui', 'https://coinmarketcap.com/currencies/sui/')",https://github.com/MystenLabs,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'layer-1']"
"('Huobi Token', 'https://coinmarketcap.com/currencies/huobi-token/')",,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'algorand-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio']"
"('BitTorrent(New)', 'https://coinmarketcap.com/currencies/bittorrent-new/')",https://github.com/bittorrent,"['platform', 'distributed-computing', 'filesharing', 'interoperability', 'staking', 'tron-ecosystem', 'storage', 'binance-launchpad', 'binance-labs-portfolio', 'web3', 'bnb-chain', 'sec-security-token', 'alleged-sec-securities']"
"('Curve DAO Token', 'https://coinmarketcap.com/currencies/curve-dao-token/')",https://github.com/curvefi/curve-contract,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'governance', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'optimism-ecosystem', 'dwf-labs-portfolio']"
"('Conflux', 'https://coinmarketcap.com/currencies/conflux-network/')",https://github.com/Conflux-Chain,"['mineable', 'pow', 'platform', 'collectibles-nfts', 'defi', 'payments', 'research', 'smart-contracts', 'staking', 'hybrid-pow-dpos', 'huobi-capital-portfolio', 'web3', 'injective-ecosystem', 'bnb-chain', 'dwf-labs-portfolio']"
"('Mina', 'https://coinmarketcap.com/currencies/mina/')",https://github.com/MinaProtocol/mina,"['pos', 'zero-knowledge-proofs', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio']"
"('GateToken', 'https://coinmarketcap.com/currencies/gatetoken/')",https://github.com/gatechain,"['marketplace', 'centralized-exchange', 'discount-token', 'algorand-ecosystem', 'ftx-bankruptcy-estate']"
"('Terra Classic', 'https://coinmarketcap.com/currencies/terra-luna/')",https://github.com/terra-money/core,"['cosmos-ecosystem', 'store-of-value', 'defi', 'payments', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'pantera-capital-portfolio', 'terra-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']"
"('Trust Wallet Token', 'https://coinmarketcap.com/currencies/trust-wallet-token/')",https://github.com/trustwallet,"['wallet', 'polygon-ecosystem', 'bnb-chain']"
"('Pepe', 'https://coinmarketcap.com/currencies/pepe/')",,['memes']
"('dYdX', 'https://coinmarketcap.com/currencies/dydx/')",https://github.com/dydxfoundation/,"['defi', 'derivatives', 'zero-knowledge-proofs', 'three-arrows-capital-portfolio', 'paradigm-portfolio', 'spartan-group']"
"('Compound', 'https://coinmarketcap.com/currencies/compound/')",https://github.com/compound-finance/compound-protocol,"['defi', 'dao', 'yield-farming', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'lending-borowing', 'dragonfly-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'arbitrum-ecosytem', 'bnb-chain']"
"('Nexo', 'https://coinmarketcap.com/currencies/nexo/')",https://github.com/nexofinance/NEXO-Token/,"['services', 'payments', 'cardano-ecosystem', 'alleged-sec-securities']"
"('GMX', 'https://coinmarketcap.com/currencies/gmx/')",,"['derivatives', 'dex', 'avalanche-ecosystem', 'arbitrum-ecosytem']"
"('Bone ShibaSwap', 'https://coinmarketcap.com/currencies/bone-shibaswap/')",,"['memes', 'doggone-doggerel']"
"('APENFT', 'https://coinmarketcap.com/currencies/apenft/')",,"['art', 'collectibles-nfts', 'tron-ecosystem']"
"('WOO Network', 'https://coinmarketcap.com/currencies/wootrade/')",,"['centralized-exchange', 'three-arrows-capital-portfolio', 'exnetwork-capital-portfolio', 'polygon-ecosystem', 'arbitrum-ecosytem', 'mvb', 'vbc-ventures-portfolio', 'injective-ecosystem', 'bnb-chain']"
"('Gemini Dollar', 'https://coinmarketcap.com/currencies/gemini-dollar/')",https://github.com/gemini/dollar,"['store-of-value', 'stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin']"
"('Flare', 'https://coinmarketcap.com/currencies/flare/')",https://github.com/flare-foundation/,['dwf-labs-portfolio']
